# y ne np nH Bx By Bz Ex Ey Ez
4.750000000000000000e+00 -8.219600000000000517e-02 8.161799999999999611e-02 4.037100000000000063e-03 2.956300000000000139e-05 9.221900000000000594e-06 9.476499999999999681e-04 -3.042200000000000070e-07 1.302600000000000031e-05 9.937900000000000599e-07
4.748000000000000220e+00 -8.226999999999999591e-02 8.229899999999999716e-02 4.082099999999999965e-03 2.891799999999999994e-05 9.223699999999999458e-06 9.469399999999999562e-04 -5.066399999999999892e-07 1.329500000000000061e-05 7.840800000000000171e-07
4.739600000000000257e+00 -7.497099999999999598e-02 7.605499999999999761e-02 4.237000000000000315e-03 2.613799999999999945e-05 9.542099999999999663e-06 9.441700000000000353e-04 -7.105299999999999971e-07 1.422200000000000037e-05 1.318199999999999985e-07
4.735400000000000276e+00 -7.736800000000000621e-02 7.750700000000000645e-02 4.139600000000000224e-03 2.456400000000000063e-05 9.394000000000000183e-06 9.432499999999999695e-04 -1.146299999999999935e-06 1.409300000000000042e-05 -3.985699999999999751e-08
4.729199999999999626e+00 -8.275299999999999323e-02 8.126700000000000590e-02 4.056599999999999616e-03 2.217100000000000169e-05 9.357499999999999770e-06 9.419899999999999714e-04 -1.233999999999999959e-06 1.382800000000000042e-05 -1.541000000000000101e-07
4.722900000000000098e+00 -7.886600000000000554e-02 7.792000000000000315e-02 4.000400000000000310e-03 1.974000000000000074e-05 8.743099999999999350e-06 9.410900000000000038e-04 -1.884699999999999929e-06 1.253300000000000011e-05 1.836099999999999878e-07
4.718799999999999883e+00 -7.512199999999999434e-02 7.958300000000000096e-02 3.986800000000000413e-03 1.801700000000000046e-05 8.423600000000000122e-06 9.406199999999999761e-04 -1.983700000000000167e-06 1.162799999999999946e-05 4.831100000000000425e-07
4.710399999999999920e+00 -7.848600000000000021e-02 8.176400000000000334e-02 4.347300000000000123e-03 1.523899999999999928e-05 6.797899999999999746e-06 9.394899999999999649e-04 -2.620700000000000167e-06 9.131799999999999542e-06 1.527499999999999986e-06
4.708300000000000374e+00 -7.967899999999999983e-02 8.134299999999999864e-02 4.390699999999999985e-03 1.441799999999999985e-05 6.422899999999999949e-06 9.392600000000000298e-04 -2.688199999999999944e-06 8.454099999999999237e-06 1.818500000000000038e-06
4.697899999999999743e+00 -7.320899999999999630e-02 7.535899999999999543e-02 4.350900000000000427e-03 1.148400000000000050e-05 3.458400000000000210e-06 9.381399999999999592e-04 -2.837699999999999953e-06 5.776099999999999636e-06 3.243099999999999917e-06
4.697899999999999743e+00 -7.320500000000000618e-02 7.535100000000000131e-02 4.350800000000000153e-03 1.147899999999999970e-05 3.454900000000000159e-06 9.381399999999999592e-04 -2.838000000000000187e-06 5.772500000000000213e-06 3.244999999999999848e-06
4.697899999999999743e+00 -7.323999999999999955e-02 7.536800000000000443e-02 4.349999999999999700e-03 1.146199999999999970e-05 3.434600000000000116e-06 9.381399999999999592e-04 -2.834500000000000136e-06 5.764499999999999612e-06 3.250599999999999845e-06
4.687500000000000000e+00 -8.024599999999999789e-02 7.746899999999999620e-02 4.113499999999999969e-03 8.546600000000000469e-06 7.397000000000000657e-08 9.384200000000000310e-04 -2.349199999999999886e-06 4.538099999999999800e-06 4.117700000000000403e-06
4.685500000000000220e+00 -7.918100000000000138e-02 7.847200000000000009e-02 4.168599999999999736e-03 8.020699999999999287e-06 -4.993899999999999739e-07 9.387100000000000435e-04 -2.152199999999999909e-06 4.494499999999999913e-06 4.067700000000000035e-06
4.677100000000000257e+00 -8.075599999999999445e-02 7.575500000000000289e-02 4.105400000000000368e-03 5.039400000000000404e-06 -3.254000000000000101e-06 9.398199999999999566e-04 -1.506400000000000095e-06 4.315499999999999593e-06 4.165200000000000372e-06
4.673000000000000043e+00 -7.819500000000000062e-02 7.438100000000000267e-02 3.939200000000000340e-03 3.894199999999999917e-06 -4.520299999999999733e-06 9.406399999999999657e-04 -1.218700000000000080e-06 4.093499999999999856e-06 3.813599999999999791e-06
4.666699999999999626e+00 -7.652200000000000668e-02 7.521500000000000408e-02 3.888599999999999869e-03 1.431499999999999974e-06 -6.864600000000000310e-06 9.421600000000000460e-04 -9.707099999999999353e-07 4.145699999999999966e-06 3.511500000000000176e-06
4.660599999999999632e+00 -8.089000000000000357e-02 7.643899999999999306e-02 4.042399999999999813e-03 1.390999999999999949e-07 -9.165300000000000153e-06 9.440800000000000277e-04 -1.034099999999999976e-06 3.783899999999999889e-06 2.907399999999999895e-06
4.656299999999999883e+00 -8.247999999999999776e-02 7.902700000000000002e-02 3.975499999999999867e-03 -1.247100000000000096e-06 -1.107399999999999934e-05 9.456599999999999685e-04 -1.245699999999999991e-06 3.918799999999999648e-06 2.601700000000000010e-06
4.648100000000000342e+00 -8.518399999999999583e-02 7.883900000000000630e-02 4.221500000000000426e-03 -2.036899999999999929e-06 -1.484100000000000072e-05 9.492100000000000277e-04 -2.051199999999999944e-06 4.167800000000000144e-06 2.052800000000000065e-06
4.645800000000000374e+00 -8.361999999999999988e-02 7.778500000000000691e-02 4.279100000000000091e-03 -2.474599999999999990e-06 -1.607200000000000130e-05 9.502999999999999512e-04 -2.362899999999999857e-06 4.394900000000000053e-06 1.915500000000000126e-06
4.635699999999999932e+00 -9.100500000000000256e-02 7.901900000000000590e-02 4.381499999999999978e-03 -2.721199999999999882e-06 -2.158000000000000006e-05 9.552500000000000444e-04 -3.889000000000000374e-06 5.817000000000000379e-06 1.696599999999999985e-06
4.635399999999999743e+00 -9.116699999999999804e-02 7.913699999999999901e-02 4.379700000000000260e-03 -2.743799999999999886e-06 -2.176400000000000033e-05 9.553899999999999719e-04 -3.940700000000000234e-06 5.863499999999999850e-06 1.686200000000000051e-06
4.633899999999999686e+00 -8.909300000000000552e-02 7.855199999999999683e-02 4.374000000000000284e-03 -2.683100000000000196e-06 -2.270299999999999930e-05 9.561100000000000328e-04 -4.174299999999999997e-06 6.070000000000000329e-06 1.699299999999999976e-06
4.625000000000000000e+00 -7.607800000000000673e-02 7.538999999999999868e-02 4.213699999999999911e-03 -2.456199999999999878e-06 -2.782300000000000111e-05 9.600999999999999725e-04 -5.415299999999999635e-06 7.326699999999999664e-06 1.893399999999999948e-06
4.623300000000000409e+00 -7.595399999999999374e-02 7.623000000000000609e-02 4.245200000000000189e-03 -2.161999999999999798e-06 -2.870099999999999846e-05 9.606799999999999975e-04 -5.560000000000000130e-06 7.362100000000000206e-06 1.967499999999999797e-06
4.614600000000000257e+00 -7.155999999999999861e-02 7.485799999999999399e-02 4.069299999999999654e-03 -9.508100000000000285e-07 -3.391800000000000289e-05 9.639499999999999848e-04 -6.503800000000000309e-06 7.336900000000000007e-06 2.171600000000000096e-06
4.610899999999999999e+00 -7.309300000000000519e-02 7.539200000000000068e-02 4.042399999999999813e-03 1.538600000000000026e-07 -3.588999999999999688e-05 9.648799999999999912e-04 -6.719600000000000005e-06 6.861000000000000040e-06 2.238600000000000048e-06
4.604199999999999626e+00 -7.905600000000000127e-02 7.948800000000000310e-02 3.989300000000000311e-03 1.962800000000000079e-06 -3.990199999999999845e-05 9.668199999999999624e-04 -7.222600000000000102e-06 5.835699999999999879e-06 2.280200000000000208e-06
4.598600000000000243e+00 -7.929899999999999449e-02 8.147999999999999687e-02 4.213699999999999911e-03 4.007600000000000390e-06 -4.278899999999999978e-05 9.679600000000000226e-04 -7.419899999999999890e-06 5.037099999999999596e-06 2.201099999999999983e-06
4.593799999999999883e+00 -7.841299999999999659e-02 8.255400000000000238e-02 4.176000000000000024e-03 5.746600000000000173e-06 -4.548999999999999984e-05 9.691899999999999821e-04 -7.646999999999999799e-06 4.271599999999999895e-06 2.143600000000000110e-06
4.586199999999999832e+00 -8.176999999999999547e-02 8.517199999999999771e-02 4.045299999999999938e-03 8.670800000000000060e-06 -4.900700000000000021e-05 9.709999999999999664e-04 -7.763900000000000323e-06 4.176700000000000177e-06 1.845999999999999986e-06
4.583300000000000374e+00 -8.369300000000000350e-02 8.544899999999999718e-02 4.154800000000000160e-03 9.846100000000000479e-06 -5.054300000000000042e-05 9.719000000000000425e-04 -7.807800000000000021e-06 4.071700000000000335e-06 1.781099999999999981e-06
4.573900000000000077e+00 -7.933999999999999386e-02 8.287999999999999534e-02 3.847300000000000112e-03 1.377499999999999940e-05 -5.463599999999999663e-05 9.748200000000000484e-04 -7.742799999999999797e-06 5.076599999999999811e-06 1.268099999999999980e-06
4.572899999999999743e+00 -7.921899999999999775e-02 8.276899999999999535e-02 3.833200000000000149e-03 1.418200000000000076e-05 -5.513900000000000181e-05 9.751900000000000195e-04 -7.715100000000000045e-06 5.141799999999999627e-06 1.240300000000000009e-06
4.567899999999999849e+00 -7.646600000000000619e-02 7.975699999999999457e-02 3.851799999999999842e-03 1.642600000000000163e-05 -5.720000000000000122e-05 9.768500000000000273e-04 -7.545799999999999819e-06 5.575299999999999797e-06 9.373399999999999482e-07
4.562500000000000000e+00 -7.453799999999999315e-02 7.641799999999999982e-02 3.910900000000000140e-03 1.861800000000000030e-05 -5.926700000000000024e-05 9.786700000000000607e-04 -7.301999999999999714e-06 6.019499999999999711e-06 6.125400000000000044e-07
4.561499999999999666e+00 -7.352000000000000202e-02 7.649000000000000243e-02 3.844800000000000214e-03 1.902900000000000026e-05 -5.946200000000000091e-05 9.789700000000000138e-04 -7.290200000000000098e-06 6.003600000000000422e-06 5.362600000000000122e-07
4.552100000000000257e+00 -7.312299999999999356e-02 8.014899999999999802e-02 3.641000000000000139e-03 2.329100000000000113e-05 -6.240200000000000326e-05 9.821299999999998954e-04 -6.647999999999999708e-06 5.597500000000000194e-06 -2.093199999999999844e-08
4.549199999999999910e+00 -7.629199999999999871e-02 8.144500000000000350e-02 3.707900000000000085e-03 2.466399999999999967e-05 -6.272900000000000199e-05 9.831499999999999094e-04 -6.530000000000000160e-06 5.293500000000000225e-06 -1.716100000000000127e-07
4.541699999999999626e+00 -8.696399999999999963e-02 8.371699999999999975e-02 3.885399999999999791e-03 2.858500000000000160e-05 -6.434400000000000601e-05 9.860699999999999153e-04 -5.877100000000000024e-06 4.286999999999999782e-06 -5.649600000000000508e-07
4.536900000000000155e+00 -9.021500000000000352e-02 7.921999999999999875e-02 4.021600000000000175e-03 3.091700000000000231e-05 -6.453099999999999592e-05 9.881600000000000800e-04 -5.518400000000000392e-06 3.842100000000000026e-06 -7.205700000000000526e-07
4.531299999999999883e+00 -8.720500000000000473e-02 7.454099999999999615e-02 3.935400000000000356e-03 3.399899999999999754e-05 -6.525499999999999779e-05 9.908700000000000320e-04 -4.959099999999999666e-06 3.195399999999999933e-06 -9.866199999999999236e-07
4.524600000000000399e+00 -8.433599999999999430e-02 7.689000000000000001e-02 3.799799999999999879e-03 3.685400000000000324e-05 -6.535000000000000281e-05 9.937800000000000973e-04 -4.308999999999999740e-06 2.940399999999999833e-06 -1.198300000000000030e-06
4.520800000000000374e+00 -8.329400000000000692e-02 7.678599999999999315e-02 3.736999999999999870e-03 3.874999999999999999e-05 -6.561700000000000551e-05 9.955800000000000326e-04 -3.937099999999999964e-06 2.792200000000000134e-06 -1.395200000000000000e-06
4.512299999999999756e+00 -8.061799999999999522e-02 8.171499999999999597e-02 3.535200000000000061e-03 4.236799999999999822e-05 -6.540799999999999447e-05 9.985300000000000772e-04 -3.172900000000000149e-06 2.559699999999999819e-06 -1.819200000000000090e-06
4.510399999999999743e+00 -8.107200000000000517e-02 8.341899999999999316e-02 3.546500000000000173e-03 4.334699999999999681e-05 -6.539099999999999785e-05 9.993199999999999392e-04 -3.038499999999999792e-06 2.573700000000000024e-06 -1.953999999999999842e-06
4.500099999999999767e+00 -8.100100000000000355e-02 8.263099999999999612e-02 3.651499999999999798e-03 4.827699999999999873e-05 -6.464299999999999755e-05 1.002000000000000069e-03 -2.614999999999999950e-06 2.035699999999999839e-06 -2.706400000000000041e-06
4.500000000000000000e+00 -8.097799999999999443e-02 8.256800000000000250e-02 3.653200000000000110e-03 4.831200000000000094e-05 -6.463800000000000014e-05 1.002099999999999909e-03 -2.614799999999999935e-06 2.036899999999999929e-06 -2.712400000000000068e-06
4.499699999999999811e+00 -8.103899999999999992e-02 8.257699999999999763e-02 3.665799999999999875e-03 4.846499999999999761e-05 -6.457599999999999972e-05 1.002199999999999966e-03 -2.628299999999999891e-06 2.024899999999999874e-06 -2.741299999999999910e-06
4.489600000000000257e+00 -8.157599999999999574e-02 8.103899999999999992e-02 4.074099999999999770e-03 5.260899999999999724e-05 -6.291199999999999668e-05 1.005199999999999930e-03 -2.926600000000000067e-06 1.626700000000000028e-06 -3.380199999999999841e-06
4.487800000000000011e+00 -8.246299999999999464e-02 8.074299999999999533e-02 4.019100000000000276e-03 5.291899999999999935e-05 -6.238099999999999787e-05 1.005899999999999893e-03 -3.013000000000000206e-06 1.602599999999999911e-06 -3.385300000000000012e-06
4.479199999999999626e+00 -8.359300000000000064e-02 7.848700000000000121e-02 3.937099999999999801e-03 5.513799999999999962e-05 -5.990899999999999849e-05 1.009300000000000084e-03 -3.917100000000000155e-06 2.025400000000000124e-06 -3.762400000000000180e-06
4.475600000000000023e+00 -8.204400000000000581e-02 7.799300000000000677e-02 4.006100000000000286e-03 5.551699999999999718e-05 -5.860700000000000317e-05 1.010700000000000010e-03 -4.266999999999999973e-06 2.423900000000000205e-06 -3.602699999999999828e-06
4.468799999999999883e+00 -7.731599999999999584e-02 7.721699999999999398e-02 3.848999999999999991e-03 5.654200000000000176e-05 -5.602399999999999757e-05 1.013599999999999918e-03 -5.215100000000000264e-06 3.339099999999999929e-06 -3.574699999999999842e-06
4.463400000000000034e+00 -7.333099999999999341e-02 8.095399999999999818e-02 4.127399999999999819e-03 5.729099999999999747e-05 -5.395500000000000095e-05 1.015099999999999900e-03 -5.786999999999999820e-06 4.263600000000000141e-06 -3.064599999999999847e-06
4.458300000000000374e+00 -7.513300000000000534e-02 8.415899999999999770e-02 4.308799999999999783e-03 5.798599999999999675e-05 -5.187900000000000253e-05 1.016900000000000052e-03 -6.335700000000000174e-06 4.954199999999999933e-06 -2.735899999999999928e-06
4.451200000000000045e+00 -8.205800000000000594e-02 8.336000000000000354e-02 4.258200000000000179e-03 5.938500000000000148e-05 -4.914400000000000246e-05 1.018100000000000081e-03 -6.795000000000000164e-06 6.046800000000000280e-06 -1.827800000000000101e-06
4.447899999999999743e+00 -8.402400000000000146e-02 8.136200000000000376e-02 4.218699999999999707e-03 5.990899999999999849e-05 -4.787100000000000296e-05 1.018999999999999941e-03 -6.860600000000000010e-06 6.268800000000000018e-06 -1.459499999999999960e-06
4.439000000000000057e+00 -8.256800000000000250e-02 7.505900000000000072e-02 4.142800000000000302e-03 6.167400000000000616e-05 -4.458600000000000307e-05 1.020700000000000036e-03 -6.730299999999999750e-06 7.145599999999999822e-06 -3.392699999999999933e-07
4.437500000000000000e+00 -8.197899999999999632e-02 7.563100000000000378e-02 4.218000000000000395e-03 6.192500000000000088e-05 -4.405499999999999748e-05 1.021100000000000046e-03 -6.593400000000000264e-06 7.143500000000000300e-06 -1.586799999999999889e-07
4.429000000000000270e+00 -8.078200000000000658e-02 7.758199999999999819e-02 4.150400000000000270e-03 6.312899999999999816e-05 -4.064699999999999894e-05 1.023700000000000001e-03 -5.807300000000000286e-06 7.446400000000000398e-06 6.293300000000000376e-07
4.427100000000000257e+00 -8.061400000000000510e-02 7.819299999999999862e-02 4.129800000000000311e-03 6.339600000000000085e-05 -3.992899999999999667e-05 1.024299999999999907e-03 -5.632600000000000078e-06 7.504099999999999863e-06 7.830300000000000441e-07
4.426800000000000068e+00 -8.072600000000000608e-02 7.847600000000000409e-02 4.140099999999999857e-03 6.343300000000000067e-05 -3.981299999999999981e-05 1.024399999999999963e-03 -5.621299999999999865e-06 7.494799999999999799e-06 7.950099999999999701e-07
4.416699999999999626e+00 -9.135200000000000264e-02 8.499600000000000211e-02 3.885599999999999905e-03 6.447300000000000426e-05 -3.573500000000000260e-05 1.028300000000000004e-03 -4.325199999999999687e-06 6.943599999999999893e-06 1.195200000000000009e-06
4.414600000000000080e+00 -9.010700000000000653e-02 8.424800000000000344e-02 3.819599999999999818e-03 6.475200000000000617e-05 -3.511799999999999818e-05 1.028999999999999967e-03 -4.232300000000000119e-06 6.629899999999999830e-06 1.248800000000000012e-06
4.406299999999999883e+00 -8.237899999999999390e-02 8.460499999999999965e-02 4.366599999999999995e-03 6.551600000000000089e-05 -3.206499999999999878e-05 1.032099999999999988e-03 -3.338400000000000089e-06 5.469799999999999706e-06 1.385200000000000095e-06
