# z ne np nH Bx By Bz Ex Ey Ez
0.000000000000000000e+00 -6.214499999999999885e-02 7.195000000000000007e-02 3.117400000000000206e-03 3.976100000000000099e-05 6.202899999999999853e-05 2.769800000000000146e-05 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.989600000000000285e-03 -6.385200000000000597e-02 6.799199999999999688e-02 3.195200000000000037e-03 3.808900000000000073e-05 6.068300000000000159e-05 2.868800000000000045e-05 3.056600000000000093e-06 2.762299999999999794e-07 -7.175900000000000193e-06
9.979200000000000570e-03 -6.555900000000000616e-02 6.403300000000000658e-02 3.273100000000000141e-03 3.641800000000000267e-05 5.933600000000000246e-05 2.967900000000000163e-05 6.113200000000000186e-06 5.524500000000000004e-07 -1.435200000000000082e-05
1.496899999999999967e-02 -6.321300000000000530e-02 6.350999999999999701e-02 3.402099999999999916e-03 3.486099999999999708e-05 5.791899999999999891e-05 3.081800000000000208e-05 6.633399999999999881e-06 2.345200000000000115e-07 -1.675999999999999878e-05
1.995800000000000005e-02 -6.040999999999999842e-02 6.326600000000000279e-02 3.536399999999999873e-03 3.329399999999999667e-05 5.648700000000000314e-05 3.198099999999999755e-05 6.875400000000000275e-06 -1.961999999999999966e-07 -1.891800000000000081e-05
2.494800000000000142e-02 -5.895700000000000246e-02 6.158000000000000279e-02 3.516899999999999887e-03 3.185099999999999710e-05 5.499400000000000235e-05 3.327100000000000044e-05 6.488799999999999606e-06 -8.507100000000000255e-07 -1.996199999999999963e-05
2.993799999999999933e-02 -5.760200000000000042e-02 5.954199999999999771e-02 3.491199999999999859e-03 3.041400000000000052e-05 5.347799999999999857e-05 3.459899999999999857e-05 5.948499999999999883e-06 -1.559700000000000076e-06 -2.080399999999999936e-05
3.492699999999999971e-02 -5.784600000000000158e-02 5.689700000000000313e-02 3.485699999999999996e-03 2.910500000000000001e-05 5.191200000000000035e-05 3.603200000000000332e-05 5.223299999999999609e-06 -2.219999999999999921e-06 -2.084800000000000097e-05
3.991700000000000109e-02 -5.867800000000000099e-02 5.436099999999999960e-02 3.486899999999999809e-03 2.782000000000000130e-05 5.031599999999999734e-05 3.751800000000000230e-05 4.413100000000000150e-06 -2.847899999999999872e-06 -2.057100000000000007e-05
4.490600000000000147e-02 -5.925600000000000311e-02 5.444700000000000234e-02 3.542000000000000010e-03 2.666400000000000085e-05 4.867899999999999929e-05 3.908599999999999813e-05 3.728899999999999992e-06 -3.205500000000000057e-06 -1.991600000000000041e-05
4.989600000000000285e-02 -6.001100000000000184e-02 5.572200000000000070e-02 3.624200000000000164e-03 2.555399999999999962e-05 4.700599999999999684e-05 4.071799999999999877e-05 3.100699999999999806e-06 -3.379900000000000030e-06 -1.896000000000000143e-05
5.488599999999999729e-02 -5.989699999999999885e-02 5.634200000000000319e-02 3.730499999999999875e-03 2.456700000000000043e-05 4.530099999999999877e-05 4.241000000000000222e-05 2.640600000000000180e-06 -3.237099999999999890e-06 -1.791800000000000022e-05
5.987499999999999767e-02 -5.913500000000000006e-02 5.668000000000000121e-02 3.889300000000000049e-03 2.365100000000000107e-05 4.355399999999999669e-05 4.417400000000000092e-05 2.311400000000000011e-06 -2.793799999999999831e-06 -1.669300000000000094e-05
6.486500000000000599e-02 -5.825799999999999729e-02 5.642699999999999799e-02 3.891100000000000201e-03 2.284900000000000096e-05 4.178300000000000297e-05 4.597799999999999923e-05 2.044700000000000091e-06 -2.146399999999999897e-06 -1.547599999999999887e-05
6.985399999999999943e-02 -5.736200000000000326e-02 5.482499999999999873e-02 3.688499999999999938e-03 2.214799999999999869e-05 3.996600000000000326e-05 4.785899999999999698e-05 1.859099999999999912e-06 -1.216599999999999922e-06 -1.418400000000000006e-05
7.484399999999999387e-02 -5.576899999999999913e-02 5.306899999999999812e-02 3.580600000000000189e-03 2.154600000000000005e-05 3.813200000000000015e-05 4.976200000000000230e-05 1.662699999999999979e-06 -2.506599999999999959e-07 -1.288199999999999965e-05
7.983400000000000218e-02 -5.330499999999999822e-02 5.051400000000000334e-02 3.586999999999999911e-03 2.107500000000000066e-05 3.624899999999999802e-05 5.174200000000000029e-05 1.465700000000000002e-06 8.141100000000000286e-07 -1.153500000000000052e-05
