# z ne np nH Bx By Bz Ex Ey Ez
2.083299999999999874e-01 -8.187600000000000433e-02 8.140899999999999526e-02 3.943799999999999910e-03 -2.182100000000000131e-04 -1.879600000000000097e-04 1.445600000000000010e-03 -7.849700000000000205e-07 4.765500000000000367e-06 -3.709900000000000020e-08
2.114399999999999891e-01 -7.835599999999999510e-02 7.834800000000000098e-02 3.941799999999999644e-03 -2.055699999999999986e-04 -1.941000000000000017e-04 1.448599999999999974e-03 -5.799600000000000131e-07 4.990799999999999718e-06 1.131300000000000078e-06
2.187500000000000000e-01 -7.803699999999999526e-02 8.414699999999999958e-02 3.941700000000000238e-03 -1.802999999999999915e-04 -2.070300000000000016e-04 1.454100000000000054e-03 2.312599999999999943e-07 5.394099999999999736e-06 3.365800000000000030e-06
2.203299999999999981e-01 -7.773900000000000254e-02 8.387699999999999323e-02 3.951200000000000198e-03 -1.736499999999999925e-04 -2.103300000000000005e-04 1.454900000000000073e-03 4.084999999999999852e-07 5.472300000000000105e-06 3.868000000000000066e-06
2.291700000000000126e-01 -7.520999999999999908e-02 8.158600000000000574e-02 3.970999999999999704e-03 -1.422299999999999986e-04 -2.265400000000000096e-04 1.457600000000000085e-03 1.752499999999999950e-06 5.830500000000000335e-06 6.523000000000000057e-06
2.292299999999999893e-01 -7.521999999999999520e-02 8.159900000000000486e-02 3.969600000000000212e-03 -1.419600000000000029e-04 -2.266699999999999965e-04 1.457600000000000085e-03 1.759700000000000067e-06 5.832300000000000047e-06 6.527300000000000169e-06
2.296100000000000085e-01 -7.563100000000000378e-02 8.158200000000000174e-02 3.968700000000000352e-03 -1.406400000000000087e-04 -2.273599999999999916e-04 1.457500000000000028e-03 1.808699999999999937e-06 5.844599999999999912e-06 6.571999999999999927e-06
2.381399999999999906e-01 -8.476599999999999413e-02 8.032499999999999363e-02 3.921400000000000233e-03 -1.098400000000000054e-04 -2.437100000000000095e-04 1.457299999999999915e-03 2.685099999999999923e-06 6.220099999999999959e-06 7.509799999999999656e-06
2.395799999999999874e-01 -8.466600000000000514e-02 8.086999999999999744e-02 3.989300000000000311e-03 -1.055300000000000010e-04 -2.460799999999999750e-04 1.457299999999999915e-03 2.810199999999999793e-06 6.282800000000000223e-06 7.781299999999999513e-06
2.470499999999999918e-01 -8.272200000000000386e-02 8.111400000000000554e-02 4.024100000000000073e-03 -7.925700000000000366e-05 -2.594900000000000245e-04 1.454199999999999894e-03 3.005000000000000028e-06 6.597200000000000126e-06 6.372000000000000148e-06
2.500000000000000000e-01 -8.150899999999999812e-02 8.045099999999999474e-02 4.059199999999999788e-03 -7.059599999999999968e-05 -2.638200000000000050e-04 1.453000000000000081e-03 2.984699999999999985e-06 6.707800000000000389e-06 6.149200000000000350e-06
2.559600000000000208e-01 -8.301100000000000145e-02 8.213399999999999868e-02 3.969900000000000165e-03 -5.001200000000000160e-05 -2.730200000000000118e-04 1.448700000000000031e-03 2.671399999999999953e-06 6.931300000000000028e-06 3.707799999999999889e-06
2.604199999999999848e-01 -8.155999999999999361e-02 8.419300000000000395e-02 3.640500000000000073e-03 -3.701700000000000151e-05 -2.784999999999999932e-04 1.445600000000000010e-03 2.223499999999999972e-06 7.068699999999999762e-06 2.217000000000000119e-06
2.648800000000000043e-01 -7.773700000000000054e-02 8.542700000000000293e-02 3.658300000000000180e-03 -2.180900000000000075e-05 -2.843699999999999895e-04 1.441000000000000007e-03 1.856899999999999958e-06 7.151299999999999615e-06 4.365499999999999750e-07
2.708300000000000152e-01 -8.220900000000000429e-02 8.516799999999999371e-02 3.834900000000000028e-03 -4.559600000000000357e-06 -2.907499999999999928e-04 1.435499999999999927e-03 1.011399999999999964e-06 7.262500000000000346e-06 -1.993399999999999837e-06
2.738099999999999978e-01 -8.189200000000000645e-02 8.325499999999999567e-02 3.921899999999999865e-03 5.352600000000000218e-06 -2.943800000000000106e-04 1.431500000000000047e-03 8.474300000000000120e-07 7.208000000000000275e-06 -2.530900000000000197e-06
2.812500000000000000e-01 -8.003499999999999504e-02 7.256600000000000550e-02 3.926500000000000302e-03 2.651299999999999840e-05 -3.020100000000000172e-04 1.423199999999999899e-03 -1.939000000000000025e-08 7.175600000000000382e-06 -4.410900000000000408e-06
2.827399999999999913e-01 -7.967200000000000670e-02 7.300800000000000345e-02 3.918600000000000382e-03 3.127599999999999667e-05 -3.038299999999999963e-04 1.420700000000000001e-03 -3.812899999999999685e-08 7.078200000000000264e-06 -4.312700000000000230e-06
2.916699999999999848e-01 -7.009899999999999465e-02 8.003499999999999504e-02 3.627399999999999809e-03 5.566899999999999843e-05 -3.130799999999999772e-04 1.409099999999999936e-03 -5.549799999999999575e-07 6.702599999999999998e-06 -4.293899999999999665e-06
2.916799999999999948e-01 -7.009799999999999365e-02 8.002900000000000291e-02 3.627299999999999969e-03 5.569399999999999904e-05 -3.130900000000000263e-04 1.409099999999999936e-03 -5.550100000000000445e-07 6.701600000000000346e-06 -4.292399999999999764e-06
2.917299999999999893e-01 -7.013400000000000190e-02 8.005800000000000416e-02 3.628800000000000168e-03 5.582399999999999949e-05 -3.131400000000000004e-04 1.409000000000000096e-03 -5.560399999999999948e-07 6.696799999999999986e-06 -4.283400000000000358e-06
3.006199999999999983e-01 -7.774499999999999467e-02 8.348999999999999477e-02 3.873800000000000160e-03 7.959800000000000599e-05 -3.222699999999999892e-04 1.395799999999999992e-03 -6.484599999999999714e-07 5.755900000000000236e-06 -2.706099999999999807e-06
3.020800000000000152e-01 -7.892699999999999716e-02 8.493100000000000649e-02 3.931600000000000372e-03 8.299199999999999416e-05 -3.234800000000000132e-04 1.394099999999999897e-03 -6.566400000000000353e-07 5.645299999999999974e-06 -2.484900000000000129e-06
3.095700000000000118e-01 -7.538699999999999568e-02 8.202600000000000169e-02 3.776299999999999796e-03 1.001499999999999949e-04 -3.287100000000000156e-04 1.381000000000000066e-03 -8.112999999999999657e-07 4.474399999999999885e-06 -1.170100000000000029e-06
3.125000000000000000e-01 -7.521999999999999520e-02 8.131199999999999539e-02 3.834999999999999867e-03 1.058999999999999991e-04 -3.302000000000000031e-04 1.376999999999999969e-03 -8.009300000000000125e-07 4.101700000000000048e-06 -5.590600000000000311e-07
3.185200000000000253e-01 -8.336300000000000654e-02 7.844099999999999684e-02 3.815300000000000202e-03 1.175999999999999989e-04 -3.323099999999999947e-04 1.365499999999999960e-03 -1.137100000000000091e-06 2.968500000000000039e-06 -9.537300000000000308e-08
3.229199999999999848e-01 -8.174800000000000122e-02 7.407800000000000495e-02 3.831000000000000204e-03 1.249300000000000117e-04 -3.333100000000000190e-04 1.358899999999999908e-03 -1.236599999999999943e-06 2.206600000000000185e-06 4.545600000000000152e-07
3.274799999999999933e-01 -8.369300000000000350e-02 7.528600000000000569e-02 3.839700000000000144e-03 1.320199999999999998e-04 -3.335899999999999825e-04 1.349799999999999958e-03 -1.549199999999999923e-06 1.387400000000000049e-06 4.074699999999999820e-07
3.333300000000000152e-01 -8.196900000000000019e-02 7.849599999999999633e-02 3.781599999999999979e-03 1.400800000000000005e-04 -3.335200000000000187e-04 1.340499999999999895e-03 -1.853899999999999945e-06 3.350599999999999841e-07 3.970999999999999758e-07
3.364400000000000168e-01 -8.047700000000000686e-02 7.697099999999999775e-02 3.886800000000000151e-03 1.436999999999999964e-04 -3.331100000000000142e-04 1.334399999999999909e-03 -1.969600000000000167e-06 -2.338299999999999835e-08 2.946299999999999853e-07
3.437500000000000000e-01 -7.446200000000000041e-02 8.083600000000000507e-02 4.031500000000000361e-03 1.516699999999999895e-04 -3.316899999999999905e-04 1.322999999999999957e-03 -2.365799999999999863e-06 -9.145099999999999483e-07 -2.627100000000000013e-07
3.454099999999999948e-01 -7.387499999999999623e-02 8.089499999999999469e-02 4.094999999999999682e-03 1.528400000000000071e-04 -3.310100000000000173e-04 1.319999999999999993e-03 -2.348999999999999871e-06 -9.158900000000000308e-07 -2.697800000000000242e-07
3.541699999999999848e-01 -8.202399999999999969e-02 8.442500000000000004e-02 3.693699999999999848e-03 1.589799999999999991e-04 -3.273799999999999996e-04 1.306899999999999945e-03 -2.602300000000000055e-06 -9.718800000000000444e-07 -7.547899999999999977e-07
3.543799999999999728e-01 -8.205600000000000394e-02 8.451400000000000579e-02 3.688900000000000165e-03 1.590300000000000004e-04 -3.272199999999999740e-04 1.306499999999999936e-03 -2.597399999999999899e-06 -9.443200000000000279e-07 -7.466999999999999828e-07
3.557100000000000262e-01 -8.189000000000000445e-02 8.422699999999999632e-02 3.739199999999999816e-03 1.593699999999999869e-04 -3.263900000000000243e-04 1.304599999999999944e-03 -2.602199999999999836e-06 -7.798000000000000344e-07 -7.030100000000000462e-07
3.633600000000000163e-01 -8.175599999999999534e-02 8.105800000000000505e-02 4.047199999999999930e-03 1.616499999999999990e-04 -3.220599999999999895e-04 1.293300000000000049e-03 -2.411500000000000120e-06 2.742699999999999804e-07 -4.145400000000000049e-07
3.645800000000000152e-01 -8.177800000000000347e-02 8.152399999999999924e-02 4.101900000000000338e-03 1.620899999999999880e-04 -3.214299999999999905e-04 1.291800000000000066e-03 -2.387399999999999792e-06 4.147700000000000010e-07 -4.031500000000000068e-07
3.723500000000000143e-01 -8.309800000000000519e-02 8.661699999999999955e-02 3.784399999999999830e-03 1.613300000000000020e-04 -3.155400000000000045e-04 1.281500000000000087e-03 -2.190500000000000034e-06 2.114400000000000034e-06 3.618400000000000161e-07
3.750000000000000000e-01 -8.018899999999999639e-02 8.629499999999999671e-02 3.739899999999999995e-03 1.614099999999999877e-04 -3.137400000000000150e-04 1.278599999999999962e-03 -2.073300000000000122e-06 2.558799999999999963e-06 6.240499999999999798e-07
3.813400000000000123e-01 -7.873299999999999743e-02 8.049099999999999311e-02 3.827099999999999946e-03 1.589600000000000095e-04 -3.076299999999999803e-04 1.271400000000000004e-03 -2.007800000000000072e-06 3.846999999999999759e-06 1.071800000000000055e-06
3.854199999999999848e-01 -7.931100000000000649e-02 7.671999999999999653e-02 3.789199999999999947e-03 1.581400000000000004e-04 -3.040000000000000167e-04 1.267600000000000020e-03 -1.775499999999999984e-06 4.405899999999999609e-06 1.406700000000000016e-06
3.903300000000000103e-01 -8.445500000000000229e-02 7.577699999999999714e-02 3.958399999999999939e-03 1.554199999999999993e-04 -2.980999999999999817e-04 1.263199999999999913e-03 -1.728000000000000015e-06 4.870900000000000239e-06 1.277300000000000036e-06
3.958300000000000152e-01 -8.541200000000000181e-02 8.306299999999999795e-02 4.131899999999999983e-03 1.537400000000000019e-04 -2.918999999999999937e-04 1.259200000000000033e-03 -1.390200000000000047e-06 5.068200000000000027e-06 1.123999999999999953e-06
3.993300000000000183e-01 -8.271799999999999986e-02 8.409200000000000008e-02 4.068399999999999794e-03 1.514599999999999898e-04 -2.868400000000000116e-04 1.257000000000000088e-03 -1.281099999999999898e-06 4.906900000000000403e-06 7.947299999999999702e-07
4.062500000000000000e-01 -8.363700000000000301e-02 8.325699999999999767e-02 4.208100000000000208e-03 1.489999999999999897e-04 -2.776799999999999841e-04 1.253299999999999944e-03 -8.589300000000000289e-07 4.355699999999999649e-06 6.675899999999999580e-08
4.083399999999999808e-01 -8.235299999999999565e-02 8.443799999999999917e-02 4.202700000000000186e-03 1.474699999999999958e-04 -2.741999999999999971e-04 1.252700000000000037e-03 -7.547199999999999713e-07 4.072100000000000365e-06 -6.241699999999999570e-08
4.166699999999999848e-01 -8.257299999999999363e-02 7.911700000000000677e-02 4.278900000000000411e-03 1.439699999999999921e-04 -2.620899999999999792e-04 1.250400000000000036e-03 -3.249900000000000004e-07 2.876000000000000077e-06 -5.373200000000000495e-07
4.173499999999999988e-01 -8.205800000000000594e-02 7.864999999999999769e-02 4.280299999999999903e-03 1.434100000000000110e-04 -2.608800000000000095e-04 1.250400000000000036e-03 -2.994899999999999905e-07 2.789799999999999954e-06 -5.174899999999999573e-07
4.217099999999999738e-01 -7.731899999999999884e-02 8.213199999999999668e-02 4.261299999999999984e-03 1.411800000000000002e-04 -2.544299999999999882e-04 1.250400000000000036e-03 -1.731599999999999968e-07 2.247500000000000081e-06 -2.376099999999999949e-07
4.263600000000000168e-01 -7.211900000000000255e-02 8.526899999999999757e-02 4.229300000000000073e-03 1.387799999999999960e-04 -2.475500000000000270e-04 1.250199999999999922e-03 -6.022000000000000587e-08 1.679599999999999979e-06 4.880499999999999928e-08
4.270800000000000152e-01 -7.221500000000000141e-02 8.569599999999999440e-02 4.207200000000000349e-03 1.385699999999999963e-04 -2.466699999999999947e-04 1.250199999999999922e-03 -4.849300000000000284e-08 1.608099999999999901e-06 1.087799999999999987e-07
4.353899999999999992e-01 -6.976300000000000556e-02 8.088399999999999757e-02 4.276499999999999919e-03 1.334399999999999963e-04 -2.351300000000000070e-04 1.252700000000000037e-03 -1.118699999999999952e-07 1.288500000000000030e-06 1.084099999999999920e-06
4.375000000000000000e-01 -7.065499999999999559e-02 8.053899999999999948e-02 4.227100000000000128e-03 1.326499999999999988e-04 -2.327899999999999989e-04 1.253100000000000047e-03 -8.599399999999999566e-08 1.215400000000000044e-06 1.380099999999999924e-06
4.444100000000000272e-01 -7.813000000000000500e-02 8.054899999999999560e-02 4.129400000000000084e-03 1.281400000000000030e-04 -2.242500000000000027e-04 1.257300000000000041e-03 -3.148399999999999790e-07 1.538599999999999973e-06 1.735999999999999981e-06
4.479199999999999848e-01 -7.848099999999999521e-02 8.201200000000000156e-02 3.913599999999999718e-03 1.266999999999999897e-04 -2.209000000000000026e-04 1.258900000000000080e-03 -2.780599999999999898e-07 1.631199999999999942e-06 1.983399999999999933e-06
4.534500000000000197e-01 -8.025500000000000689e-02 7.971599999999999520e-02 3.781000000000000073e-03 1.234399999999999972e-04 -2.148800000000000026e-04 1.263800000000000036e-03 -5.069999999999999739e-07 2.071700000000000002e-06 1.591599999999999932e-06
4.583300000000000152e-01 -8.061300000000000410e-02 7.739000000000000046e-02 3.974799999999999688e-03 1.214700000000000008e-04 -2.108099999999999959e-04 1.266999999999999897e-03 -4.916200000000000042e-07 2.347099999999999940e-06 1.305400000000000029e-06
4.624900000000000122e-01 -8.093200000000000394e-02 7.724899999999999822e-02 4.063299999999999725e-03 1.195000000000000044e-04 -2.066799999999999931e-04 1.271299999999999947e-03 -6.310600000000000405e-07 2.543600000000000092e-06 7.083400000000000020e-07
4.687500000000000000e-01 -8.166500000000000148e-02 8.239799999999999902e-02 4.172300000000000314e-03 1.173300000000000032e-04 -2.017900000000000043e-04 1.276100000000000064e-03 -6.877900000000000463e-07 2.865400000000000128e-06 -1.756200000000000069e-07
4.715300000000000047e-01 -8.397399999999999309e-02 8.627500000000000446e-02 4.120799999999999984e-03 1.166500000000000029e-04 -1.991600000000000109e-04 1.279500000000000038e-03 -7.382299999999999606e-07 2.809099999999999922e-06 -5.032899999999999493e-07
4.791699999999999848e-01 -8.698400000000000576e-02 8.533599999999999519e-02 3.959299999999999799e-03 1.156099999999999993e-04 -1.931500000000000057e-04 1.286400000000000043e-03 -8.510900000000000328e-07 3.001600000000000196e-06 -1.482399999999999986e-06
4.805800000000000072e-01 -8.666500000000000592e-02 8.491500000000000437e-02 3.982600000000000202e-03 1.155000000000000021e-04 -1.918300000000000116e-04 1.288300000000000035e-03 -8.522199999999999907e-07 2.892299999999999820e-06 -1.506400000000000095e-06
4.895800000000000152e-01 -7.199700000000000544e-02 8.265599999999999337e-02 3.879500000000000136e-03 1.157100000000000018e-04 -1.843699999999999983e-04 1.297299999999999929e-03 -8.529700000000000470e-07 2.837499999999999938e-06 -1.893699999999999970e-06
4.896300000000000097e-01 -7.195600000000000607e-02 8.262899999999999412e-02 3.879099999999999909e-03 1.157199999999999966e-04 -1.843299999999999919e-04 1.297399999999999986e-03 -8.520399999999999983e-07 2.833100000000000031e-06 -1.889200000000000056e-06
4.899399999999999866e-01 -7.191599999999999382e-02 8.236000000000000265e-02 3.886099999999999971e-03 1.157800000000000062e-04 -1.841099999999999974e-04 1.297699999999999939e-03 -8.400799999999999892e-07 2.822399999999999862e-06 -1.871199999999999974e-06
4.986900000000000222e-01 -7.184699999999999420e-02 7.367600000000000537e-02 4.110800000000000391e-03 1.170100000000000063e-04 -1.776000000000000072e-04 1.307699999999999965e-03 -6.163899999999999760e-07 2.449999999999999836e-06 -1.304399999999999954e-06
